native_base_type,count
extractcentroid,36
scale,36
uvproject,35
subdivide,35
ends,34
uvtransform,34
objnet,33
collect,33
shadingnormal,33
smooth,33
abs,33
floattoint,33
heightfield_xform,32
attribrandomize,31
dopnet,31
principledshader,31
swizzlevec,30
cam,30
uvquickshade,29
tube,29
copyxform,28
copy,28
remesh,27
trig,27
uvflatten,26
rotate,26
displace,26
floattomatx,26
slerp,26
pow,26
uvunwrap,26
sopsolver,25
distancealonggeometry,24
polybevel,24
control,24
connectadjacentpieces,23
uvlayout,23
invert,23
struct,23
sopgeo,23
vdbcombine,22
if,22
rop_alembic,22
ifd,22
emptyobject,22
pointjitter,21
fresnel,21
frontface,21
layerpack,21
solver,21
baketexture,21
extrapolateboundaries,21
vdbreshapesdf,20
curve,20
rampfilter,20
polycut,19
skin,19
degtorad,19
max,19
assemble,19
findshortestpath,18
primitive,18
volumewrangle,18
divconst,18
isnan,18
grouprename,17
displacetexture,17
strlen,17
volumemix,17
filmboxfbx,17
intersectionstitch,16
peak,16
transform,16
inttovec,16
blur,16
attribexpression,15
random,15
primuv,15
not,15
block_begin_if,15
importpoint,15
attributedelete,15
mountain,15
contour,15
efit,15
limits,15
reshapevalue,15
softclip,15
unifiednoise,15
stash,14
ropnet,14
bias,14
layerunpack,14
materialbuilder,14
gamma,14
vopsop,13
rop_fbx,13
computelighting,13
pbrlighting,13
group,13
matchaxis,13
flip,13
window,13
mosaic,13
attribfromvolume,13
vdbanalysis,13
visualize,12
xyzdist,12
isshadow,12
pbrdiffuse,12
pbrnonmetallic,12
subnetconnector,12
pbrspecular,12
attribcast,12
attributecreate,12
bright,12
prepost,12
addpoint,12
addvertex,12
curlnoise,12
xformbyattrib,11
importattrib,11
colormix,11
heightfield_file,11
name,10
intersectionanalysis,10
font,10
triangulate2d,10
extractxform,10
rbdpackedobject,10
polyexpand2d,10
vdbactivate,10
aanoise,10
geometry,10
shopnet,10
importvertex,10
edit,9
voronoifracture,9
gravity,9
attribremap,9
switchlightingbsdf,9
attribswap,8
polywire,8
shrinkwrap,8
polydoctor,8
vdb,8
volumevop,8
volumevopglobal,8
pointgenerate,8
genericgenerator,8
hvectofloat,8
blendshapes,8
isooffset,8
heightfield_output,8
function,8
vector,8
removepoint,8
chopnet,8
hlight,8
vopmaterial,8
attribfrommap,7
groupcopy,7
pointsfromvolume,7
addattrib,7
groundplane,7
edgetransport,7
or,7
vectohvec,7
explodedview,7
heightfield_resample,7
edge,7
volume,7
partition,6
attribinterpolate,6
bakeexports,6
fakecaustics,6
layermix,6
pbrrwalksss,6
pbrsingles,6
pbrsss,6
tangentnormal,6
vectomatx,6
albedo,6
conductorfresnel,6
generalfresnel,6
reflect,6
setlayerexport,6
thinfilmfresnel,6
hole,6
convertheightfield,6
vecgetcompon,6
attributerename,6
extracttransform,6
pyroBlackbody,6
xformpieces,6
vdbtopologytosdf,6
groupfromattribboundary,6
volumegradientfile,6
heightfield_remap,6
extend,6
premultiply,6
diff,6
dilateerode,6
extrudevolume,5
groupfindpath,5
uvautoseam,5
retime,5
raybounce,5
mirror,5
cosine,5
bbox,5
filepattern,5
partitionbyattribute,5
sopnet,5
ctransform,5
dopimportfield,5
dualrestsolver,5
pyroshader,5
pyroshadercore,5
heightfield_copylayer,5
edgeblur,5
bend,5
tetrahedralize,5
sqrt,5
refine,4
localscheduler,4
polysplit,4
softxform,4
eulertoquat,4
primintrinsic,4
windingnumber,4
enablesolver,4
gasintermittentsolve,4
staticobject,4
dopimportrecords,4
pbremission,4
min,4
vdbactivatesdf,4
colormap,4
volumevopoutput,4
cluster,4
vdbsmooth,4
expand,4
heightfield_blur,4
batch,4
wedge,4
getblurP,4
mask,4
timescale,4
velblur,4
trail,4
drawcurve,4
each,4
foreach,4
addprim,4
atan,4
invoke,4
bonecapturebiharmonic,4
bonecapturelines,4
tetembed,4
vdbsmoothsdf,4
attribtransferbyuv,4
fbxanimimport,4
volumerasterizeattributes,3
geometryimport,3
groupbylasso,3
topnetmgr,3
vdbvisualizetree,3
waitforall,3
neighbour,3
instance,3
lookat,3
matxtoquat,3
matxtovec,3
rigidbodysolver,3
npoints,3
pbrmetallic,3
principledshadercore,3
restpos,3
setlayercomponent,3
uvxform,3
alphamix,3
classicshadercore,3
conserveenergy,3
physicalsss,3
volumerasterizeparticles,3
volumesamplefile,3
attributecopy,3
pythonscript,3
workitemexpand,3
alembic,3
detangle,3
ropfetch,3
ropgeometry,3
unifiednoise_static,3
fetch,3
metaball,3
shape,3
primitivesplit,3
volumebound,3
heightfield,3
heightfield_project,3
densitytoopacity,3
exp,3
pbrphase,3
bulletrbdsolver,3
staticsolver,3
vdbtospheres,3
vellumsolver,3
captureattribunpack,3
guidecollidevdb,3
frac,3
v_constant,3
addgroup,2
polypatch,2
quattomatx,2
geometrywrangle,2
popdrag,2
popobject,2
popsolver,2
popsource,2
lambert,2
normalclamp,2
specular,2
tooncolorshader,2
visibility,2
edgedivide,2
opengl,2
filecopy,2
partitionbynode,2
hsv,2
makeinstancexform,2
vdbfracture,2
volumevisualization,2
cache,2
volumeresize,2
heightfield_quickshade,2
volumesplice,2
layer,2
volumemodel,2
rigstashpose,2
packededit,2
planeindex,2
terrainobject,2
relbbox,2
distancefromtarget,2
force,2
setattrib,2
intersect,2
volumesample,2
multisolver,2
rigmirrorpose,2
popwind,2
vellumobject,2
vellumsource,2
capture,2
flipsource,2
particlefluidsurface,2
renderparmsvolatile,2
vdbadvectpoints,2
captureattribpack,2
fbxcharacterimport,2
fbxskinimport,2
vecsetcompon,2
trace,2
colorcorrect,2
extractgeo,2
